question,label
2023-11-08,DATE
2023-11-08,DATE
2023-11-09,DATE
2023-11-09,DATE
2023-11-10,DATE
2023-11-12,DATE
2023-11-15,DATE
2023-11-15,DATE
2023-11-18,DATE
15:00,TIME
14:30,TIME
12:00,TIME
12:00,TIME
17:00,TIME
18:00,TIME
18:30,TIME
18:05,TIME
11:20,TIME
부산대학교 정문,PLACE 
삼정타워,PLACE
알콩달콩 순두부,PLACE
아이유정,PLACE
맥도날드 만덕점,PLACE
희망공원,PLACE
성산구청,PLACE
창원대학교,PLACE
롯데리아 서면점,PLACE
서면 자라,PLACE
사상역 5번 출구,PLACE
르네시떼,PLACE
당근PC 덕천점,PLACE
지도교수 상담,CONTENT
FSI 줌,CONTENT
동아리,CONTENT
야학,CONTENT
롯데,CONTENT
어머님들,CONTENT
통계 세미나,CONTENT
책 거래,CONTENT
양꼬치,CONTENT
덕천,CONTENT
오빠,CONTENT
디자인띵킹,CONTENT
쌍두,CONTENT
센텀,CONTENT
